Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,defValue,License MR
2022-07-18,0,0,Open Data Commons Attribution License - odc-by -,-,Open Data @ Tor Vergata,Open Data @ Tor Vergata is a project developed in collaboration with the Tor Vergata University Computing and Documentation Centre (CCD) and Etcware srl- on a 2007-2013 POR FESR (Regional Operational Programme- European Fund for Regional Development) grant funded by Filas for the Latium region.The goal of the project is to publish the administrative and teaching-related data of the University as open data. In addition- Etcware srl has developed Android and iOS applications for accessing teaching data primarily.,absent,absent,0.5,[],{},nan,-,0,opendatatorvergata,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://opendata.ccd.uniroma2.it/LMF/sparql/select,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:absent Name:absent Email:absent,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,False,endpoint offline,endpoint offline,insufficient data,0.225,44.72,-,-,endpoint offline,endpoint offline
2022-07-31,0,0,Open Data Commons Attribution License - odc-by -,-,Open Data @ Tor Vergata,Open Data @ Tor Vergata is a project developed in collaboration with the Tor Vergata University Computing and Documentation Centre (CCD) and Etcware srl- on a 2007-2013 POR FESR (Regional Operational Programme- European Fund for Regional Development) grant funded by Filas for the Latium region.The goal of the project is to publish the administrative and teaching-related data of the University as open data. In addition- Etcware srl has developed Android and iOS applications for accessing teaching data primarily.,absent,absent,0.5,[],{},nan,-,0,opendatatorvergata,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://opendata.ccd.uniroma2.it/LMF/sparql/select,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:absent Name:absent Email:absent,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,False,endpoint offline,endpoint offline,insufficient data,0.225,0.06,-,-,endpoint offline,endpoint offline
2022-08-07,0,0,Open Data Commons Attribution License - odc-by -,-,Open Data @ Tor Vergata,Open Data @ Tor Vergata is a project developed in collaboration with the Tor Vergata University Computing and Documentation Centre (CCD) and Etcware srl- on a 2007-2013 POR FESR (Regional Operational Programme- European Fund for Regional Development) grant funded by Filas for the Latium region.The goal of the project is to publish the administrative and teaching-related data of the University as open data. In addition- Etcware srl has developed Android and iOS applications for accessing teaching data primarily.,absent,absent,0.5,[],{},nan,-,0,opendatatorvergata,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://opendata.ccd.uniroma2.it/LMF/sparql/select,Not provided,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,-,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:absent Name:absent Email:absent,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0,0,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,False,endpoint offline,endpoint offline,insufficient data,0.225,0.06,-,-,endpoint offline,endpoint offline
