Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,defValue,License MR
2022-07-18,-1,0,Other (Public Domain) - other-pd -,-,de-gaap-ontology-lexicon,"The dataset is a German-English financial ontology-lexicon with 728 bilingual annotated phrases with Constituent and Part-Of-Speech Tags in <a href=""http://lexinfo.net/"">lexinfo</a>/<a href=""http://lemon-model.net/"">lemon</a> format. The ontology lexicon was generated from the rdf version (using xbrl2rdf by Dennis Spohr) of the German <a href=""http://xbrl.de"">XBRL</a> HGB Taxonomy V4.1 which describes financial concepts used in German reporting. Special thanks to Noëmi Aepli for the part-of-speech annotions. All work was done within the <a href=""http://monnet-project.eu/"">MONNET (Multilingual Ontologies for Networked Knowledge Project</a>.The ontology-lexicon and its ontology be downloaded here.",Absent,False,0.5,1,0,0.001,-,246522,degaapontologylexicon,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.638968517421905e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:Absent Name:Tobias Wunner Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.18,43727,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.334,44.73,-,-,endpoint absent,endpoint absent
2022-07-31,-1,0,Other (Public Domain) - other-pd -,-,de-gaap-ontology-lexicon,"The dataset is a German-English financial ontology-lexicon with 728 bilingual annotated phrases with Constituent and Part-Of-Speech Tags in <a href=""http://lexinfo.net/"">lexinfo</a>/<a href=""http://lemon-model.net/"">lemon</a> format. The ontology lexicon was generated from the rdf version (using xbrl2rdf by Dennis Spohr) of the German <a href=""http://xbrl.de"">XBRL</a> HGB Taxonomy V4.1 which describes financial concepts used in German reporting. Special thanks to Noëmi Aepli for the part-of-speech annotions. All work was done within the <a href=""http://monnet-project.eu/"">MONNET (Multilingual Ontologies for Networked Knowledge Project</a>.The ontology-lexicon and its ontology be downloaded here.",Absent,False,0.5,1,0,0.001,-,246522,degaapontologylexicon,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.638968517421905e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:Absent Name:Tobias Wunner Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.18,43727,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.334,0.09,-,-,endpoint absent,endpoint absent
2022-08-07,-1,0,Other (Public Domain) - other-pd -,-,de-gaap-ontology-lexicon,"The dataset is a German-English financial ontology-lexicon with 728 bilingual annotated phrases with Constituent and Part-Of-Speech Tags in <a href=""http://lexinfo.net/"">lexinfo</a>/<a href=""http://lemon-model.net/"">lemon</a> format. The ontology lexicon was generated from the rdf version (using xbrl2rdf by Dennis Spohr) of the German <a href=""http://xbrl.de"">XBRL</a> HGB Taxonomy V4.1 which describes financial concepts used in German reporting. Special thanks to Noëmi Aepli for the part-of-speech annotions. All work was done within the <a href=""http://monnet-project.eu/"">MONNET (Multilingual Ontologies for Networked Knowledge Project</a>.The ontology-lexicon and its ontology be downloaded here.",Absent,absent,0.5,1,0,0.001,-,246522,degaapontologylexicon,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,8.638968517421905e-05,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:Absent Name:Tobias Wunner Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.18,43727,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.334,0.09,-,-,endpoint absent,endpoint absent
