Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,defValue,License MR
2022-07-18,0,1,Creative Commons CCZero - cc-zero -,-,EU Parliament Media Library,This dataset contains information about multi-media content published by the European Parliament at http://audiovisual.europarl.europa.eu/. Media assets of type video- audio and image are contained. All assests are annotated with primary metadata (e.g.- length- resolution- size- etc.)- as well as topic metadata. Where topics are people- those are represented as complex resources in their own right- with names- roles in organisations- etc. Organisations are located in countries according to the Kasabi country dataset.,http://eupmedia.publicdata.eu/,True,1.0,1,0,0.001,-,532957,euparliamentmedia,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://api.talis.com/stores/eupmedia/services/sparql,http://eupmedia.publicdata.eu/dump/eup_media_assets.ttl,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.00023897046867910418,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://eupmedia.publicdata.eu/ Name:Knud Möller Email:knud.moeller,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.00,1000,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.45,44.75,-,-,endpoint offline,endpoint offline
2022-07-31,0,1,Creative Commons CCZero - cc-zero -,-,EU Parliament Media Library,This dataset contains information about multi-media content published by the European Parliament at http://audiovisual.europarl.europa.eu/. Media assets of type video- audio and image are contained. All assests are annotated with primary metadata (e.g.- length- resolution- size- etc.)- as well as topic metadata. Where topics are people- those are represented as complex resources in their own right- with names- roles in organisations- etc. Organisations are located in countries according to the Kasabi country dataset.,http://eupmedia.publicdata.eu/,True,1.0,1,0,0.001,-,532957,euparliamentmedia,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://api.talis.com/stores/eupmedia/services/sparql,http://eupmedia.publicdata.eu/dump/eup_media_assets.ttl,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.00023897046867910418,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://eupmedia.publicdata.eu/ Name:Knud Möller Email:knud.moeller,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.00,1000,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.45,0.12,-,-,endpoint offline,endpoint offline
2022-08-07,0,1,Creative Commons CCZero - cc-zero -,-,EU Parliament Media Library,This dataset contains information about multi-media content published by the European Parliament at http://audiovisual.europarl.europa.eu/. Media assets of type video- audio and image are contained. All assests are annotated with primary metadata (e.g.- length- resolution- size- etc.)- as well as topic metadata. Where topics are people- those are represented as complex resources in their own right- with names- roles in organisations- etc. Organisations are located in countries according to the Kasabi country dataset.,http://eupmedia.publicdata.eu/,absent,0.75,1,0,0.001,-,532957,euparliamentmedia,-,-,-,-,-,-,-,-,-,-,-,-,endpoint offline,endpoint offline,http://api.talis.com/stores/eupmedia/services/sparql,http://eupmedia.publicdata.eu/dump/eup_media_assets.ttl,-,-,-,endpoint offline,-,-,-,-,endpoint offline,-,-,0.00023897046867910418,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Web:http://eupmedia.publicdata.eu/ Name:Knud Möller Email:knud.moeller,endpoint offline,endpoint offline,-,-,insufficient data,insufficient data,endpoint offline,endpoint offline,0.00,1000,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,True,endpoint offline,endpoint offline,insufficient data,0.437,0.12,-,-,endpoint offline,endpoint offline
