Date,SPARQL endpoint,RDF dump,License Machine-Redeable,License Human-Redeable,KG name,Description,Url,Reliable,Trust value,Degree of connection,Clustring coefficient,Centrality,Number of sameAs chains,Number of triples,KGid,Min latency,25th percentile latency,Median latency,75th percentile latency,Max latency,Min TP,25th percentile TP,Median TP,75th percentile TP,Max TP,Requires auth,Use HTTPS,Serialization formats,Languages,Link SPARQL endpoint,Link for download the dataset,Number of void label,Number of whitespace label,Number of malformed datatype,Labels,Disjoint class,Undefined class,Undefined property,Deprecated class/property,Ontology hijacking,Misplaced property,Misplaced class,PageRank,Vocabularies,Authors,Publishers,Contributors,Sources,Signed,Dataset update frequency,Creation date,Modification date,Num. triples updated,Time since last modification,Extensional conciseness,Intensional conciseness,Interlinking completeness,Number of triples linked,Number of entities,Number of property,Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),New vocabularies defined,New terms defined,Number of label,Uri regex,Presence of example,Number of blank nodes,RDF structures,HistoricalUp,Score,Normalized score,FP,IFP,Limited,defValue,License MR
2022-07-18,-1,0,Open Data Commons Open Database License (ODbL) - odc-odbl -,-,Openly Local :: Making Local Government More Transparent,The project provides a unified way of accessing UK Local Government information. It has information on (as per 2011-12-03):* 163 councils* 11-418 councillors* 6-728 committees* 77-830 committee meetings* 498 hyperlocal sites* 44-855 documents* Over 270-956 pieces of data* 2-368-794 financial transactionsMost of the data is accessible as XML- JSON and RDF through a simple API (just add .json or .xml to the URL). There is also a Google Gadget- an app for Hyperlocal sites using Ning- and a javascript widget.### Openness  * Open. CC-BY-SA and ODbL. See [license info](http://openlylocal.com/info/licence_info) page.  * No bulk download though API access to most of the underlying data.,http://openlylocal.com/,True,1.0,5,0.500,0.003,-,10000000,openlylocal,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00031728721363494575,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openlylocal.com/ Name:Chris Taggart http://countculture.wordpress.com/ Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87400,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.35,44.74,-,-,endpoint absent,endpoint absent
2022-07-31,-1,0,Open Data Commons Open Database License (ODbL) - odc-odbl -,-,Openly Local :: Making Local Government More Transparent,The project provides a unified way of accessing UK Local Government information. It has information on (as per 2011-12-03):* 163 councils* 11-418 councillors* 6-728 committees* 77-830 committee meetings* 498 hyperlocal sites* 44-855 documents* Over 270-956 pieces of data* 2-368-794 financial transactionsMost of the data is accessible as XML- JSON and RDF through a simple API (just add .json or .xml to the URL). There is also a Google Gadget- an app for Hyperlocal sites using Ning- and a javascript widget.### Openness  * Open. CC-BY-SA and ODbL. See [license info](http://openlylocal.com/info/licence_info) page.  * No bulk download though API access to most of the underlying data.,http://openlylocal.com/,True,1.0,5,0.500,0.003,-,10000000,openlylocal,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00031728721363494575,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openlylocal.com/ Name:Chris Taggart http://countculture.wordpress.com/ Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87400,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.35,0.09,-,-,endpoint absent,endpoint absent
2022-08-07,-1,0,Open Data Commons Open Database License (ODbL) - odc-odbl -,-,Openly Local :: Making Local Government More Transparent,The project provides a unified way of accessing UK Local Government information. It has information on (as per 2011-12-03):* 163 councils* 11-418 councillors* 6-728 committees* 77-830 committee meetings* 498 hyperlocal sites* 44-855 documents* Over 270-956 pieces of data* 2-368-794 financial transactionsMost of the data is accessible as XML- JSON and RDF through a simple API (just add .json or .xml to the URL). There is also a Google Gadget- an app for Hyperlocal sites using Ning- and a javascript widget.### Openness  * Open. CC-BY-SA and ODbL. See [license info](http://openlylocal.com/info/licence_info) page.  * No bulk download though API access to most of the underlying data.,http://openlylocal.com/,absent,0.75,5,0.500,0.003,-,10000000,openlylocal,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,-,-,endpoint absent,endpoint absent,nan,Not provided,-,-,-,endpoint absent,-,-,-,-,endpoint absent,-,-,0.00031728721363494575,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Web:http://openlylocal.com/ Name:Chris Taggart http://countculture.wordpress.com/ Email:Absent,endpoint absent,endpoint absent,-,-,insufficient data,insufficient data,endpoint absent,endpoint absent,0.01,87400,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,True,endpoint absent,endpoint absent,insufficient data,0.338,0.09,-,-,endpoint absent,endpoint absent
